sample	unit	fq1	fq2
CP604-S10-001L0001	001L0001	CP604-S10-001L0001_good_R1.fastq.gz	CP604-S10-001L0001_good_R2.fastq.gz
CP604-S10-001L0002	001L0002	CP604-S10-001L0002_good_R1.fastq.gz	CP604-S10-001L0002_good_R2.fastq.gz
CP604-S10-001L0003	001L0003	CP604-S10-001L0003_good_R1.fastq.gz	CP604-S10-001L0003_good_R2.fastq.gz
CP604-S10-001L0004	001L0004	CP604-S10-001L0004_good_R1.fastq.gz	CP604-S10-001L0004_good_R2.fastq.gz
CP604-S10-001L0005	001L0005	CP604-S10-001L0005_good_R1.fastq.gz	CP604-S10-001L0005_good_R2.fastq.gz
CP604-S10-001L0006	001L0006	CP604-S10-001L0006_good_R1.fastq.gz	CP604-S10-001L0006_good_R2.fastq.gz
CP604-S10-001L0007	001L0007	CP604-S10-001L0007_good_R1.fastq.gz	CP604-S10-001L0007_good_R2.fastq.gz
CP604-S10-001L0008	001L0008	CP604-S10-001L0008_good_R1.fastq.gz	CP604-S10-001L0008_good_R2.fastq.gz
CP604-S10-001L0009	001L0009	CP604-S10-001L0009_good_R1.fastq.gz	CP604-S10-001L0009_good_R2.fastq.gz
CP604-S10-001L0010	001L0010	CP604-S10-001L0010_good_R1.fastq.gz	CP604-S10-001L0010_good_R2.fastq.gz
CP604-S10-001L0011	001L0011	CP604-S10-001L0011_good_R1.fastq.gz	CP604-S10-001L0011_good_R2.fastq.gz
CP604-S10-001L0012	001L0012	CP604-S10-001L0012_good_R1.fastq.gz	CP604-S10-001L0012_good_R2.fastq.gz
CP604-S10-001L0013	001L0013	CP604-S10-001L0013_good_R1.fastq.gz	CP604-S10-001L0013_good_R2.fastq.gz
CP604-S10-001L0014	001L0014	CP604-S10-001L0014_good_R1.fastq.gz	CP604-S10-001L0014_good_R2.fastq.gz
CP604-S10-001L0015	001L0015	CP604-S10-001L0015_good_R1.fastq.gz	CP604-S10-001L0015_good_R2.fastq.gz
CP604-S10-001L0016	001L0016	CP604-S10-001L0016_good_R1.fastq.gz	CP604-S10-001L0016_good_R2.fastq.gz
CP604-S10-001L0017	001L0017	CP604-S10-001L0017_good_R1.fastq.gz	CP604-S10-001L0017_good_R2.fastq.gz
CP604-S10-001L0018	001L0018	CP604-S10-001L0018_good_R1.fastq.gz	CP604-S10-001L0018_good_R2.fastq.gz
CP604-S10-001L0019	001L0019	CP604-S10-001L0019_good_R1.fastq.gz	CP604-S10-001L0019_good_R2.fastq.gz
CP604-S10-001L0020	001L0020	CP604-S10-001L0020_good_R1.fastq.gz	CP604-S10-001L0020_good_R2.fastq.gz
CP604-S10-001L0021	001L0021	CP604-S10-001L0021_good_R1.fastq.gz	CP604-S10-001L0021_good_R2.fastq.gz
CP604-S10-001L0022	001L0022	CP604-S10-001L0022_good_R1.fastq.gz	CP604-S10-001L0022_good_R2.fastq.gz
CP604-S10-001L0023	001L0023	CP604-S10-001L0023_good_R1.fastq.gz	CP604-S10-001L0023_good_R2.fastq.gz
CP604-S10-001L0024	001L0024	CP604-S10-001L0024_good_R1.fastq.gz	CP604-S10-001L0024_good_R2.fastq.gz
CP604-S10-001L0025	001L0025	CP604-S10-001L0025_good_R1.fastq.gz	CP604-S10-001L0025_good_R2.fastq.gz
CP604-S10-001L0026	001L0026	CP604-S10-001L0026_good_R1.fastq.gz	CP604-S10-001L0026_good_R2.fastq.gz
CP604-S10-001L0027	001L0027	CP604-S10-001L0027_good_R1.fastq.gz	CP604-S10-001L0027_good_R2.fastq.gz
CP604-S10-001L0028	001L0028	CP604-S10-001L0028_good_R1.fastq.gz	CP604-S10-001L0028_good_R2.fastq.gz
CP604-S10-001L0029	001L0029	CP604-S10-001L0029_good_R1.fastq.gz	CP604-S10-001L0029_good_R2.fastq.gz
CP604-S10-001L0030	001L0030	CP604-S10-001L0030_good_R1.fastq.gz	CP604-S10-001L0030_good_R2.fastq.gz
CP604-S10-001L0031	001L0031	CP604-S10-001L0031_good_R1.fastq.gz	CP604-S10-001L0031_good_R2.fastq.gz
CP604-S10-001L0032	001L0032	CP604-S10-001L0032_good_R1.fastq.gz	CP604-S10-001L0032_good_R2.fastq.gz
CP604-S10-001L0033	001L0033	CP604-S10-001L0033_good_R1.fastq.gz	CP604-S10-001L0033_good_R2.fastq.gz
CP604-S10-001L0034	001L0034	CP604-S10-001L0034_good_R1.fastq.gz	CP604-S10-001L0034_good_R2.fastq.gz
CP604-S10-001L0035	001L0035	CP604-S10-001L0035_good_R1.fastq.gz	CP604-S10-001L0035_good_R2.fastq.gz
CP604-S10-001L0036	001L0036	CP604-S10-001L0036_good_R1.fastq.gz	CP604-S10-001L0036_good_R2.fastq.gz
CP604-S10-001L0037	001L0037	CP604-S10-001L0037_good_R1.fastq.gz	CP604-S10-001L0037_good_R2.fastq.gz
CP604-S10-001L0038	001L0038	CP604-S10-001L0038_good_R1.fastq.gz	CP604-S10-001L0038_good_R2.fastq.gz